"('2145 S Kalamath St, Denver, CO 80223, USA', 39.677619, -105.000938)",,,,,,,,
"('2145 S Kalamath St, Denver, CO 80223, USA', 39.677619, -105.000938)",,,,,,,,
"('Bannock St, Denver, CO, USA', 39.7281487, -104.9901873)",,,,,,,,
"('E 39th Ave, Denver, CO, USA', 39.7714163, -104.9289971)",,,,,,,,
"('Joliet St, Colorado, USA', 39.756862, -104.8611766)",,,,,,,,
"('7700 E Arapahoe Rd #275, Centennial, CO 80112, USA', 39.5942614, -104.8993526)",,,,,,,,
"('1900 Grant St # 1250, Denver, CO 80203, USA', 39.7465077, -104.9831529)",,,,,,,,
"('Grape St, Denver, CO, USA', 39.7734782, -104.9246086)",,,,,,,,
"('S Huron St, Denver, CO, USA', 39.6585791, -104.9969945)",,,,,,,,
"('Denver, CO, USA', 39.7392358, -104.990251)",,,,,,,,
"('Dahlia St, Denver, CO, USA', 39.7856014, -104.9316316)",,,,,,,,
"('Oakland St, Aurora, CO, USA', 39.7531734, -104.8505276)",,,,,,,,
"('Ivy St, Denver, CO, USA', 39.7805202, -104.9200304)",,,,,,,,
"('5475 Peoria St #4-106, Denver, CO 80239, USA', 39.79502859999999, -104.8487144)",,,,,,,,
"('Mariposa St, Denver, CO, USA', 39.7294877, -105.0028381)",,,,,,,,
"('Mariposa St, Denver, CO, USA', 39.7294877, -105.0028381)",,,,,,,,
"('Dahlia St, Denver, CO, USA', 39.7856014, -104.9316316)",,,,,,,,
"('7700 E Arapahoe Rd #275, Centennial, CO 80112, USA', 39.5942614, -104.8993526)",,,,,,,,
"('Quentin St, Colorado, USA', 39.7599867, -104.844742)",,,,,,,,
"('Quivas St, Denver, CO, USA', 39.7801532, -105.0080066)",,,,,,,,
"('6090 Smith Rd, Denver, CO 80216, USA', 39.7732797, -104.9184317)",,,,,,,,
"('5475 Peoria St #4-106, Denver, CO 80239, USA', 39.79502859999999, -104.8487144)",,,,,,,,
"('5353 Joliet St, Denver, CO 80239, USA', 39.794077, -104.861901)",,,,,,,,
"('Joliet St, Colorado, USA', 39.756862, -104.8611766)",,,,,,,,40
"('Jason St, Denver, CO 80211, USA', 39.7742325, -104.999401)",,,,,,,,3.333333333
"('Oneida St, Colorado, USA', 39.7779899, -104.9082209)",,,,,,,,
"('S Acoma St, Denver, CO, USA', 39.6604683, -104.9888606)",,,,,,,,
"('E 41st Ave, Denver, CO 80216, USA', 39.7731258, -104.9270038)",,,,,,,,
"('N High St, Denver, CO, USA', 39.7601927, -104.9647226)",,,,,,,,
"('Oakland St, Aurora, CO, USA', 39.7531734, -104.8505276)",,,,,,,,
"('Bannock St, Denver, CO, USA', 39.7281487, -104.9901873)",,,,,,,,
"('W 37th Ave, Denver, CO, USA', 39.7675179, -105.0532368)",,,,,,,,
"('Bryant St, Denver, CO, USA', 39.7584329, -105.0193066)",,,,,,,,
"('Glencoe St, Denver, CO, USA', 39.7492703, -104.925819)",,,,,,,,
"('4379 Tejon St, Denver, CO 80211, USA', 39.7762457, -105.011641)",,,,,,,,
"('E Colfax Ave, Colorado, USA', 39.7402221, -104.8579793)",,,,,,,,
"('7700 E Arapahoe Rd #275, Centennial, CO 80112, USA', 39.5942614, -104.8993526)",,,,,,,,
"('Lipan St, Denver, CO, USA', 39.7723853, -105.0017612)",,,,,,,,
"('Dahlia St, Denver, CO, USA', 39.7856014, -104.9316316)",,,,,,,,
"('2209 W 32nd Ave, Denver, CO 80211, USA', 39.762226, -105.0131553)",,,,,,,,
"('1041, 3835 Elm St, Denver, CO 80207, United States', 39.7699183, -104.9298034)",,,,,,,,
"('E 51st Ave, Denver, CO, USA', 39.79031459999999, -104.861751)",,,,,,,,
"('6853 Leetsdale Dr, Denver, CO 80224, USA', 39.7004147, -104.9087886)",,,,,,,,
"('105 E 7th Ave, Denver, CO 80203, USA', 39.7274393, -104.9855893)",,,,,,,,
"('E Colfax Ave, Colorado, USA', 39.7402221, -104.8579793)",,,,,,,,
"('W 48th Ave, Denver, CO, USA', 39.78495160000001, -105.0503064)",,,,,,,,
"('Dahlia St, Denver, CO, USA', 39.7856014, -104.9316316)",,,,,,,,
"('7700 E Arapahoe Rd #275, Centennial, CO 80112, USA', 39.5942614, -104.8993526)",,,,,,,,
